paper,title,preference,abstract,topics
11,Smooth Calibration and Decision Making,0,"Calibration requires predictor outputs to be consistent with their Bayesian posteriors. For
machine learning predictors that do not distinguish between small perturbations, calibration
errors are continuous in predictions, e.g., smooth calibration error (Foster and Hart, 2018),
Distance to Calibration (Blasiok et al., 2023a). On the contrary, decision-makers who use
predictions make optimal decisions discontinuously in probabilistic space, experiencing loss
from miscalibration discontinuously. Calibration errors for decision-making are thus
discontinuous, e.g., Expected Calibration Error (Foster and Vohra, 1997), and Calibration
Decision Loss (Hu and Wu, 2024). Thus, predictors with a low calibration error for machine
learning may suffer a high calibration error for decision-making, i.e., they may not be
trustworthy for decision-makers optimizing assuming their predictions are correct. It is natural
to ask if post-processing a predictor with a low calibration error for machine learning is
without loss to achieve a low calibration error for decision-making. In our paper, we show that
post-processing an online predictor with $ε$ distance to calibration achieves $O(\sqrtε)$ ECE
and CDL, which is asymptotically optimal. The post-processing algorithm adds noise to make
predictions differentially private. The optimal bound from low distance to calibration
predictors from post-processing is non-optimal compared with existing online calibration
algorithms that directly optimize for ECE and CDL.",Machine learning; Data structures and algorithms; Statistical machine learning
12,Explaining and Improving Information Complementarities in Multi-Agent Decision-making,0,"Multiple agents are increasingly combined to make decisions with the expectation of achieving
complementary performance, where the decisions they make together outperform those made
individually. However, knowing how to improve the performance of collaborating agents requires
knowing what information and strategies each agent employs. With a focus on human-AI pairings,
we contribute a decision-theoretic framework for characterizing the value of information. By
defining complementary information, our approach identifies opportunities for agents to better
exploit available information in AI-assisted decision workflows. We present a novel explanation
technique (ILIV-SHAP) that adapts SHAP explanations to highlight human-complementing
information. We validate the effectiveness of our framework and ILIV-SHAP through a study of
human-AI decision-making, and demonstrate the framework on examples from chest X-ray diagnosis
and deepfake detection. We find that presenting ILIV-SHAP with AI predictions leads to reliably
greater reductions in error over non-AI assisted decisions more than vanilla SHAP.",Artificial intelligence; Machine learning
13,"Regulation of Algorithmic Collusion, Refined: Testing Pessimistic Calibrated Regret",0,"We study the regulation of algorithmic (non-)collusion amongst sellers in dynamic imperfect
price competition by auditing their data as introduced by Hartline et al. [2024]. We develop an
auditing method that tests whether a seller's pessimistic calibrated regret is low. The
pessimistic calibrated regret is the highest calibrated regret of outcomes compatible with the
observed data. This method relaxes the previous requirement that a pricing algorithm must use
fully-supported price distributions to be auditable. This method is at least as permissive as
any auditing method that has a high probability of failing algorithmic outcomes with
non-vanishing calibrated regret. Additionally, we strengthen the justification for using
vanishing calibrated regret, versus vanishing best-in-hindsight regret, as the non-collusion
definition, by showing that even without any side information, the pricing algorithms that only
satisfy weaker vanishing best-in-hindsight regret allow an opponent to manipulate them into
posting supra-competitive prices. This manipulation cannot be excluded with a non-collusion
definition of vanishing best-in-hindsight regret. We motivate and interpret the approach of
auditing algorithms from their data as suggesting a per se rule. However, we demonstrate that it
is possible for algorithms to pass the audit by pretending to have higher costs than they
actually do. For such scenarios, the rule of reason can be applied to bound the range of costs
to those that are reasonable for the domain.",Theoretical economics
14,Unexploited Information Value in Human-AI Collaboration,0,"Humans and AIs are often paired on decision tasks with the expectation of achieving
complementary performance -- where the combination of human and AI outperforms either one alone.
However, how to improve performance of a human-AI team is often not clear without knowing more
about what particular information and strategies each agent employs. In this paper, we propose a
model based in statistical decision theory to analyze human-AI collaboration from the
perspective of what information could be used to improve a human or AI decision. We demonstrate
our model on a deepfake detection task to investigate seven video-level features by their
unexploited value of information. We compare the human alone, AI alone and human-AI team and
offer insights on how the AI assistance impacts people's usage of the information and what
information that the AI exploits well might be useful for improving human decisions.",Human-computer interaction; Artificial intelligence
15,ElicitationGPT: Text Elicitation Mechanisms via Language Models,0,"Scoring rules evaluate probabilistic forecasts of an unknown state against the realized state
and are a fundamental building block in the incentivized elicitation of information. This paper
develops mechanisms for scoring elicited text against ground truth text by reducing the textual
information elicitation problem to a forecast elicitation problem, via domain-knowledge-free
queries to a large language model (specifically ChatGPT), and empirically evaluates their
alignment with human preferences. Our theoretical analysis shows that the reduction achieves
provable properness via black-box language models. The empirical evaluation is conducted on peer
reviews from a peer-grading dataset, in comparison to manual instructor scores for the peer
reviews. Our results suggest a paradigm of algorithmic artificial intelligence that may be
useful for developing artificial intelligence technologies with provable guarantees.",Artificial intelligence; Machine learning
16,Subgame Optimal and Prior-Independent Online Algorithms,0,"This paper takes a game theoretic approach to the design and analysis of online algorithms and
illustrates the approach on the finite-horizon ski-rental problem. This approach allows beyond
worst-case analysis of online algorithms. First, we define ""subgame optimality"" which is
stronger than worst case optimality in that it requires the algorithm to take advantage of an
adversary not playing a worst case input. Algorithms only focusing on the worst case can be far
from subgame optimal. Second, we consider prior-independent design and analysis of online
algorithms, where rather than choosing a worst case input, the adversary chooses a worst case
independent and identical distribution over inputs. Prior-independent online algorithms are
generally analytically intractable; instead we give a fully polynomial time approximation scheme
to compute them. Highlighting the potential improvement from these paradigms for the
finite-horizon ski-rental problem, we empirically compare worst-case, subgame optimal, and
prior-independent algorithms in the prior-independent framework.",
17,Fundamental Limits of Throughput and Availability: Applications to prophet inequalities & transaction fee mechanism design,0,"This paper studies the fundamental limits of availability and throughput for independent and
heterogeneous demands of a limited resource. Availability is the probability that the demands
are below the capacity of the resource. Throughput is the expected fraction of the resource that
is utilized by the demands. We offer a concentration inequality generator that gives lower
bounds on feasible availability and throughput pairs with a given capacity and independent but
not necessarily identical distributions of up-to-unit demands. We show that availability and
throughput cannot both be poor. These bounds are analogous to tail inequalities on sums of
independent random variables, but hold throughout the support of the demand distribution. This
analysis gives analytically tractable bounds supporting the unit-demand characterization of
Chawla, Devanur, and Lykouris (2023) and generalizes to up-to-unit demands. Our bounds also
provide an approach towards improved multi-unit prophet inequalities (Hajiaghayi, Kleinberg, and
Sandholm, 2007). They have applications to transaction fee mechanism design (for blockchains)
where high availability limits the probability of profitable user-miner coalitions (Chung and
Shi, 2023).",
18,Error-Tolerant E-Discovery Protocols,0,"We consider the multi-party classification problem introduced by Dong, Hartline, and
Vijayaraghavan (2022) in the context of electronic discovery (e-discovery). Based on a request
for production from the requesting party, the responding party is required to provide documents
that are responsive to the request except for those that are legally privileged. Our goal is to
find a protocol that verifies that the responding party sends almost all responsive documents
while minimizing the disclosure of non-responsive documents. We provide protocols in the
challenging non-realizable setting, where the instance may not be perfectly separated by a
linear classifier. We demonstrate empirically that our protocol successfully manages to find
almost all relevant documents, while incurring only a small disclosure of non-responsive
documents. We complement this with a theoretical analysis of our protocol in the
single-dimensional setting, and other experiments on simulated data which suggest that the
non-responsive disclosure incurred by our protocol may be unavoidable.",Computers and society; Data structures and algorithms
19,Algorithmic Robust Forecast Aggregation,0,"Forecast aggregation combines the predictions of multiple forecasters to improve accuracy.
However, the lack of knowledge about forecasters' information structure hinders optimal
aggregation. Given a family of information structures, robust forecast aggregation aims to find
the aggregator with minimal worst-case regret compared to the omniscient aggregator. Previous
approaches for robust forecast aggregation rely on heuristic observations and parameter tuning.
We propose an algorithmic framework for robust forecast aggregation. Our framework provides
efficient approximation schemes for general information aggregation with a finite family of
possible information structures. In the setting considered by Arieli et al. (2018) where two
agents receive independent signals conditioned on a binary state, our framework also provides
efficient approximation schemes by imposing Lipschitz conditions on the aggregator or discrete
conditions on agents' reports. Numerical experiments demonstrate the effectiveness of our method
by providing a nearly optimal aggregator in the setting considered by Arieli et al. (2018).",Machine learning
20,Regulation of Algorithmic Collusion,0,"Consider sellers in a competitive market that use algorithms to adapt their prices from data
that they collect. In such a context it is plausible that algorithms could arrive at prices that
are higher than the competitive prices and this may benefit sellers at the expense of consumers
(i.e., the buyers in the market). This paper gives a definition of plausible algorithmic
non-collusion for pricing algorithms. The definition allows a regulator to empirically audit
algorithms by applying a statistical test to the data that they collect. Algorithms that are
good, i.e., approximately optimize prices to market conditions, can be augmented to contain the
data sufficient to pass the audit. Algorithms that have colluded on, e.g., supra-competitive
prices cannot pass the audit. The definition allows sellers to possess useful side information
that may be correlated with supply and demand and could affect the prices used by good
algorithms. The paper provides an analysis of the statistical complexity of such an audit, i.e.,
how much data is sufficient for the test of non-collusion to be accurate.",Theoretical economics
21,A Decision Theoretic Framework for Measuring AI Reliance,0,"Humans frequently make decisions with the aid of artificially intelligent (AI) systems. A common
pattern is for the AI to recommend an action to the human who retains control over the final
decision. Researchers have identified ensuring that a human has appropriate reliance on an AI as
a critical component of achieving complementary performance. We argue that the current
definition of appropriate reliance used in such research lacks formal statistical grounding and
can lead to contradictions. We propose a formal definition of reliance, based on statistical
decision theory, which separates the concepts of reliance as the probability the decision-maker
follows the AI's recommendation from challenges a human may face in differentiating the signals
and forming accurate beliefs about the situation. Our definition gives rise to a framework that
can be used to guide the design and interpretation of studies on human-AI complementarity and
reliance. Using recent AI-advised decision making studies from literature, we demonstrate how
our framework can be used to separate the loss due to mis-reliance from the loss due to not
accurately differentiating the signals. We evaluate these losses by comparing to a baseline and
a benchmark for complementary performance defined by the expected payoff achieved by a rational
decision-maker facing the same decision task as the behavioral decision-makers.",Artificial intelligence; Human-computer interaction
22,Underspecified Human Decision Experiments Considered Harmful,0,"Decision-making with information displays is a key focus of research in areas like human-AI
collaboration and data visualization. However, what constitutes a decision problem, and what is
required for an experiment to conclude that decisions are flawed, remain imprecise. We present a
widely applicable definition of a decision problem synthesized from statistical decision theory
and information economics. We claim that to attribute loss in human performance to bias, an
experiment must provide the information that a rational agent would need to identify the
normative decision. We evaluate whether recent empirical research on AI-assisted decisions
achieves this standard. We find that only 10 (26%) of 39 studies that claim to identify biased
behavior presented participants with sufficient information to make this claim in at least one
treatment condition. We motivate the value of studying well-defined decision problems by
describing a characterization of performance losses they allow to be conceived.",Human-computer interaction; Artificial intelligence
23,Extension of Minimax for Algorithmic Lower Bounds,0,"This paper considers the use of Yao's Minimax Theorem in robust algorithm design, e.g., for
online algorithms, where the algorithm designer aims to minimize the ratio of the algorithm's
performance to the optimal performance. When applying Minimax, the objective becomes the
expectation of these ratios. The main result of the paper is that it is equally valid for the
objective (after applying Minimax) to be the ratio of the expectations.",Data structures and algorithms
24,Designing Shared Information Displays for Agents of Varying Strategic Sophistication,0,"Data-driven predictions are often perceived as inaccurate in hindsight due to behavioral
responses. In this study, we explore the role of interface design choices in shaping
individuals' decision-making processes in response to predictions presented on a shared
information display in a strategic setting. We introduce a novel staged experimental design to
investigate the effects of design features, such as visualizations of prediction uncertainty and
error, within a repeated congestion game. In this game, participants assume the role of taxi
drivers and use a shared information display to decide where to search for their next ride. Our
experimental design endows agents with varying level-$k$ depths of thinking, allowing some
agents to possess greater sophistication in anticipating the decisions of others using the same
information display. Through several extensive experiments, we identify trade-offs between
displays that optimize individual decisions and those that best serve the collective social
welfare of the system. We find that the influence of display characteristics varies based on an
agent's strategic sophistication. We observe that design choices promoting individual-level
decision-making can lead to suboptimal system outcomes, as manifested by a lower realization of
potential social welfare. However, this decline in social welfare is offset by a reduction in
the distribution shift, narrowing the gap between predicted and realized system outcomes, which
potentially enhances the perceived reliability and trustworthiness of the information display
post hoc. Our findings pave the way for new research questions concerning the design of
effective prediction interfaces in strategic environments.",Human-computer interaction
25,Robust Analysis of Auction Equilibria,0,"Equilibria in auctions can be very difficult to analyze, beyond the symmetric environments where
revenue equivalence renders the analysis straightforward. This paper takes a robust approach to
evaluating the equilibria of auctions. Rather than identify the equilibria of an auction under
specific environmental conditions, it considers worst-case analysis, where an auction is
evaluated according to the worst environment and worst equilibrium in that environment. It
identifies a non-equilibrium property of auctions that governs whether or not their worst-case
equilibria are good for welfare and revenue. This property is easy to analyze, can be refined
from data, and composes across markets where multiple auctions are run simultaneously.",
26,Screening with Disadvantaged Agents,0,"Motivated by school admissions, this paper studies screening in a population with both
advantaged and disadvantaged agents. A school is interested in admitting the most skilled
students, but relies on imperfect test scores that reflect both skill and effort. Students are
limited by a budget on effort, with disadvantaged students having tighter budgets. This raises a
challenge for the principal: among agents with similar test scores, it is difficult to
distinguish between students with high skills and students with large budgets. Our main result
is an optimal stochastic mechanism that maximizes the gains achieved from admitting
``high-skill"" students minus the costs incurred from admitting ``low-skill"" students when
considering two skill types and $n$ budget types. Our mechanism makes it possible to give higher
probability of admission to a high-skill student than to a low-skill, even when the low-skill
student can potentially get higher test-score due to a higher budget. Further, we extend our
admission problem to a setting in which students uniformly receive an exogenous subsidy to
increase their budget for effort. This extension can only help the school's admission objective
and we show that the optimal mechanism with exogenous subsidies has the same characterization as
optimal mechanisms for the original problem.",
27,Fair Grading Algorithms for Randomized Exams,0,"This paper studies grading algorithms for randomized exams. In a randomized exam, each student
is asked a small number of random questions from a large question bank. The predominant grading
rule is simple averaging, i.e., calculating grades by averaging scores on the questions each
student is asked, which is fair ex-ante, over the randomized questions, but not fair ex-post, on
the realized questions. The fair grading problem is to estimate the average grade of each
student on the full question bank. The maximum-likelihood estimator for the Bradley-Terry-Luce
model on the bipartite student-question graph is shown to be consistent with high probability
when the number of questions asked to each student is at least the cubed-logarithm of the number
of students. In an empirical study on exam data and in simulations, our algorithm based on the
maximum-likelihood estimator significantly outperforms simple averaging in prediction accuracy
and ex-post fairness even with a small class and exam size.",Statistical machine learning
28,The Rational Agent Benchmark for Data Visualization,0,"Understanding how helpful a visualization is from experimental results is difficult because the
observed performance is confounded with aspects of the study design, such as how useful the
information that is visualized is for the task. We develop a rational agent framework for
designing and interpreting visualization experiments. Our framework conceives two experiments
with the same setup: one with behavioral agents (human subjects), and the other one with a
hypothetical rational agent. A visualization is evaluated by comparing the expected performance
of behavioral agents to that of a rational agent under different assumptions. Using recent
visualization decision studies from the literature, we demonstrate how the framework can be used
to pre-experimentally evaluate the experiment design by bounding the expected improvement in
performance from having access to visualizations, and post-experimentally to deconfound errors
of information extraction from errors of optimization, among other analyses.",Human-computer interaction
29,Combinatorial Pen Testing (or Consumer Surplus of Deferred-Acceptance Auctions),0,"Pen testing is the problem of selecting high-capacity resources when the only way to measure the
capacity of a resource expends its capacity. We have a set of $n$ pens with unknown amounts of
ink and our goal is to select a feasible subset of pens maximizing the total ink in them. We are
allowed to learn about the ink levels by writing with them, but this uses up ink that was
previously in the pens. We identify optimal and near optimal pen testing algorithms by drawing
analogues to auction theoretic frameworks of deferred-acceptance auctions and virtual values.
Our framework allows the conversion of any near optimal deferred-acceptance mechanism into a
near optimal pen testing algorithm. Moreover, these algorithms guarantee an additional overhead
of at most $(1+o(1)) \ln n$ in the approximation factor to the omniscient algorithm that has
access to the ink levels in the pens. We use this framework to give pen testing algorithms for
various combinatorial constraints like matroid, knapsack, and general downward-closed
constraints, and also for online environments.",Data structures and algorithms; Theoretical economics
30,Optimal Scoring Rules for Multi-dimensional Effort,0,"This paper develops a framework for the design of scoring rules to optimally incentivize an
agent to exert a multi-dimensional effort. This framework is a generalization to strategic
agents of the classical knapsack problem (cf. Briest, Krysta, and Vöcking, 2005, Singer, 2010)
and it is foundational to applying algorithmic mechanism design to the classroom. The paper
identifies two simple families of scoring rules that guarantee constant approximations to the
optimal scoring rule. The truncated separate scoring rule is the sum of single dimensional
scoring rules that is truncated to the bounded range of feasible scores. The threshold scoring
rule gives the maximum score if reports exceed a threshold and zero otherwise. Approximate
optimality of one or the other of these rules is similar to the bundling or selling separately
result of Babaioff, Immorlica, Lucier, and Weinberg (2014). Finally, we show that the
approximate optimality of the best of those two simple scoring rules is robust when the agent's
choice of effort is made sequentially.",Theoretical economics
31,Algorithmic Learning Foundations for Common Law,0,"This paper looks at a common law legal system as a learning algorithm, models specific features
of legal proceedings, and asks whether this system learns efficiently. A particular feature of
our model is explicitly viewing various aspects of court proceedings as learning algorithms.
This viewpoint enables directly pointing out that when the costs of going to court are not
commensurate with the benefits of going to court, there is a failure of learning and inaccurate
outcomes will persist in cases that settle. Specifically, cases are brought to court at an
insufficient rate. On the other hand, when individuals can be compelled or incentivized to bring
their cases to court, the system can learn and inaccuracy vanishes over time.",Computers and society
32,Classification Protocols with Minimal Disclosure,0,"We consider multi-party protocols for classification that are motivated by applications such as
e-discovery in court proceedings. We identify a protocol that guarantees that the requesting
party receives all responsive documents and the sending party discloses the minimal amount of
non-responsive documents necessary to prove that all responsive documents have been received.
This protocol can be embedded in a machine learning framework that enables automated labeling of
points and the resulting multi-party protocol is equivalent to the standard one-party
classification problem (if the one-party classification problem satisfies a natural
independence-of-irrelevant-alternatives property). Our formal guarantees focus on the case where
there is a linear classifier that correctly partitions the documents.",Computers and society; Data structures and algorithms; Machine learning; Statistical machine learning
33,Non-strategic Econometrics (for Initial Play),0,"Modelling agent preferences has applications in a range of fields including economics and
increasingly, artificial intelligence. These preferences are not always known and thus may need
to be estimated from observed behavior, in which case a model is required to map agent
preferences to behavior, also known as structural estimation. Traditional models are based on
the assumption that agents are perfectly rational: that is, they perfectly optimize and behave
in accordance with their own interests. Work in the field of behavioral game theory has shown,
however, that human agents often make decisions that are imperfectly rational, and the field has
developed models that relax the perfect rationality assumption. We apply models developed for
predicting behavior towards estimating preferences and show that they outperform both
traditional and commonly used benchmark models on data collected from human subjects. In fact,
Nash equilibrium and its relaxation, quantal response equilibrium (QRE), can induce an
inaccurate estimate of agent preferences when compared against ground truth. A key finding is
that modelling non-strategic behavior, conventionally considered uniform noise, is important for
estimating preferences. To this end, we introduce quantal-linear4, a rich non-strategic model.
We also propose an augmentation to the popular quantal response equilibrium with a non-strategic
component. We call this augmented model QRE+L0 and find an improvement in estimating values over
the standard QRE. QRE+L0 allows for alternative models of non-strategic behavior in addition to
quantal-linear4.",
34,Online Bipartite Matching via Smoothness,0,"The online bipartite matching problem has offline buyers desiring to be matched to online items.
The analysis of online bipartite matching of Eden et al. (2021) is a smoothness proof (Syrgkanis
and Tardos, 2013). Moreover, it can be interpreted as combining a $λ= 1-1/e$ value covering
(which holds for single-dimensional agents and randomized auctions) and $μ= 1$ revenue covering
(Hartline et al., 2014). Note that value covering is a fact about single-dimensional agents and
has nothing to do with the underlying feasibility setting. Thus, the essential new result from
Eden et al. (2021) is that online bipartite matching is $μ=1$ revenue covered. A number of old
and new observations follow from this perspective.",Theoretical economics
35,Visualization Equilibrium,0,"In many real-world strategic settings, people use information displays to make decisions. In
these settings, an information provider chooses which information to provide to strategic agents
and how to present it, and agents formulate a best response based on the information and their
anticipation of how others will behave. We contribute the results of a controlled online
experiment to examine how the provision and presentation of information impacts people's
decisions in a congestion game. Our experiment compares how different visualization approaches
for displaying this information, including bar charts and hypothetical outcome plots, and
different information conditions, including where the visualized information is private versus
public (i.e., available to all agents), affect decision making and welfare. We characterize the
effects of visualization anticipation, referring to changes to behavior when an agent goes from
alone having access to a visualization to knowing that others also have access to the
visualization to guide their decisions. We also empirically identify the visualization
equilibrium, i.e., the visualization for which the visualized outcome of agents' decisions
matches the realized decisions of the agents who view it. We reflect on the implications of
visualization equilibria and visualization anticipation for designing information displays for
real-world strategic settings.",Human-computer interaction
36,Lower Bounds for Prior Independent Algorithms,0,"The prior independent framework for algorithm design considers how well an algorithm that does
not know the distribution of its inputs approximates the expected performance of the optimal
algorithm for this distribution. This paper gives a method that is agnostic to problem setting
for proving lower bounds on the prior independent approximation factor of any algorithm. The
method constructs a correlated distribution over inputs that can be generated both as a
distribution over i.i.d. good-for-algorithms distributions and as a distribution over i.i.d.
bad-for-algorithms distributions. Prior independent algorithms are upper-bounded by the optimal
algorithm for the latter distribution even when the true distribution is the former. Thus, the
ratio of the expected performances of the Bayesian optimal algorithms for these two
decompositions is a lower bound on the prior independent approximation ratio. The techniques of
the paper connect prior independent algorithm design, Yao's Minimax Principle, and information
design. We apply this framework to give new lower bounds on several canonical prior independent
mechanism design problems.",Data structures and algorithms
37,Revelation Gap for Pricing from Samples,0,"This paper considers prior-independent mechanism design, in which a single mechanism is designed
to achieve approximately optimal performance on every prior distribution from a given class.
Most results in this literature focus on mechanisms with truthtelling equilibria, a.k.a.,
truthful mechanisms. Feng and Hartline (2018) introduce the revelation gap to quantify the loss
of the restriction to truthful mechanisms. We solve a main open question left in Feng and
Hartline (2018); namely, we identify a non-trivial revelation gap for revenue maximization. Our
analysis focuses on the canonical problem of selling a single item to a single agent with only
access to a single sample from the agent's valuation distribution. We identify the sample-bid
mechanism (a simple non-truthful mechanism) and upper-bound its prior-independent approximation
ratio by 1.835 (resp. 1.296) for regular (resp. MHR) distributions. We further prove that no
truthful mechanism can achieve prior-independent approximation ratio better than 1.957 (resp.
1.543) for regular (resp. MHR) distributions. Thus, a non-trivial revelation gap is shown as the
sample-bid mechanism outperforms the optimal prior-independent truthful mechanism. On the
hardness side, we prove that no (possibly non-truthful) mechanism can achieve prior-independent
approximation ratio better than 1.073 even for uniform distributions.",
38,Non-quasi-linear Agents in Quasi-linear Mechanisms,0,"Mechanisms with money are commonly designed under the assumption that agents are quasi-linear,
meaning they have linear disutility for spending money. We study the implications when agents
with non-linear (specifically, convex) disutility for payments participate in mechanisms
designed for quasi-linear agents. We first show that any mechanism that is truthful for
quasi-linear buyers has a simple best response function for buyers with non-linear disutility
from payments, in which each bidder simply scales down her value for each potential outcome by a
fixed factor, equal to her target return on investment (ROI). We call such a strategy
ROI-optimal. We prove the existence of a Nash equilibrium in which agents use ROI-optimal
strategies for a general class of allocation problems. Motivated by online marketplaces, we then
focus on simultaneous second-price auctions for additive bidders and show that all ROI-optimal
equilibria in this setting achieve constant-factor approximations to suitable welfare and
revenue benchmarks.",
39,Mechanisms for a No-Regret Agent: Beyond the Common Prior,0,"A rich class of mechanism design problems can be understood as incomplete-information games
between a principal who commits to a policy and an agent who responds, with payoffs determined
by an unknown state of the world. Traditionally, these models require strong and
often-impractical assumptions about beliefs (a common prior over the state). In this paper, we
dispense with the common prior. Instead, we consider a repeated interaction where both the
principal and the agent may learn over time from the state history. We reformulate mechanism
design as a reinforcement learning problem and develop mechanisms that attain natural benchmarks
without any assumptions on the state-generating process. Our results make use of novel
behavioral assumptions for the agent -- centered around counterfactual internal regret -- that
capture the spirit of rationality without relying on beliefs.",Theoretical economics
